Although this program will describe the degrees of freedom in the 
problem, it will do so using the typedef for the elements. This is 
not neccesarily human readable, but there is a solution.
Pipe your program's output through c++filt, with the argument -t.
e.g. "./two_d_multi_poisson | c++filt -t > ReadableOutput.txt".
 (Disregarding the quotes)


Classifying Global Equation Numbers
--------------------------------------------------------------------------------
Eqn: 166 | Value 1 of Node 29 in Problem's Only Mesh.
Eqn: 167 | Value 2 of Node 29 in Problem's Only Mesh.
Eqn: 168 | Value 3 of Node 29 in Problem's Only Mesh.
Eqn: 169 | Value 0 of Node 30 in Problem's Only Mesh.
Eqn: 170 | Value 1 of Node 30 in Problem's Only Mesh.
Eqn: 171 | Value 2 of Node 30 in Problem's Only Mesh.
Eqn: 172 | Value 3 of Node 30 in Problem's Only Mesh.
Eqn: 173 | Value 0 of Node 31 in Problem's Only Mesh.
Eqn: 174 | Value 1 of Node 31 in Problem's Only Mesh.
Eqn: 175 | Value 2 of Node 31 in Problem's Only Mesh.
Eqn: 176 | Value 3 of Node 31 in Problem's Only Mesh.
Eqn: 177 | Value 4 of Node 31 in Problem's Only Mesh.
Eqn: 178 | Value 5 of Node 31 in Problem's Only Mesh.
Eqn: 179 | Value 0 of Node 32 in Problem's Only Mesh.
Eqn: 180 | Value 1 of Node 32 in Problem's Only Mesh.
Eqn: 181 | Value 2 of Node 32 in Problem's Only Mesh.
Eqn: 182 | Value 3 of Node 32 in Problem's Only Mesh.
Eqn: 183 | Value 4 of Node 32 in Problem's Only Mesh.
Eqn: 184 | Value 5 of Node 32 in Problem's Only Mesh.
Eqn: 185 | Value 0 of Node 33 in Problem's Only Mesh.
Eqn: 186 | Value 1 of Node 33 in Problem's Only Mesh.
Eqn: 187 | Value 2 of Node 33 in Problem's Only Mesh.
Eqn: 188 | Value 3 of Node 33 in Problem's Only Mesh.
Eqn: 189 | Value 0 of Node 34 in Problem's Only Mesh.
Eqn: 190 | Value 1 of Node 34 in Problem's Only Mesh.
Eqn: 191 | Value 2 of Node 34 in Problem's Only Mesh.
Eqn: 192 | Value 3 of Node 34 in Problem's Only Mesh.
Eqn: 193 | Value 0 of Node 35 in Problem's Only Mesh.
Eqn: 194 | Value 1 of Node 35 in Problem's Only Mesh.
Eqn: 195 | Value 2 of Node 35 in Problem's Only Mesh.
Eqn: 196 | Value 3 of Node 35 in Problem's Only Mesh.
Eqn: 197 | Value 4 of Node 35 in Problem's Only Mesh.
Eqn: 198 | Value 5 of Node 35 in Problem's Only Mesh.
Eqn: 199 | Value 0 of Node 36 in Problem's Only Mesh.
Eqn: 200 | Value 1 of Node 36 in Problem's Only Mesh.
Eqn: 201 | Value 2 of Node 36 in Problem's Only Mesh.
Eqn: 202 | Value 3 of Node 36 in Problem's Only Mesh.
